2021-06-02 20:27:32,725 - root -  OrderedDict([('frame_index', 0), ('class_id', [0]), ('scores', [0.9937817454338074]), ('box_coordinates', [[231, 74, 1072, 708]])])
2021-06-02 20:27:32,738 - root -  OrderedDict([('frame_index', 12), ('class_id', [0]), ('scores', [0.9889573454856873]), ('box_coordinates', [[206, 36, 1034, 714]])])
2021-06-02 20:27:32,739 - root -  OrderedDict([('frame_index', 13), ('class_id', [0]), ('scores', [0.9900538921356201]), ('box_coordinates', [[200, 30, 1049, 715]])])
2021-06-02 20:27:32,740 - root -  OrderedDict([('frame_index', 14), ('class_id', [0]), ('scores', [0.989562451839447]), ('box_coordinates', [[200, 29, 1047, 715]])])
2021-06-02 20:27:32,742 - root -  OrderedDict([('frame_index', 15), ('class_id', [0]), ('scores', [0.989325761795044]), ('box_coordinates', [[192, 23, 1034, 718]])])
2021-06-02 20:27:32,742 - root -  OrderedDict([('frame_index', 16), ('class_id', [0]), ('scores', [0.991877555847168]), ('box_coordinates', [[199, 27, 1044, 715]])])
2021-06-02 20:27:32,743 - root -  OrderedDict([('frame_index', 17), ('class_id', [0]), ('scores', [0.9929628968238831]), ('box_coordinates', [[199, 27, 1022, 716]])])
2021-06-02 20:27:32,744 - root -  OrderedDict([('frame_index', 18), ('class_id', [0]), ('scores', [0.9915443658828735]), ('box_coordinates', [[208, 43, 1046, 717]])])
2021-06-02 20:27:32,745 - root -  OrderedDict([('frame_index', 19), ('class_id', [0]), ('scores', [0.9912506341934204]), ('box_coordinates', [[207, 42, 1043, 719]])])
2021-06-02 20:27:32,746 - root -  OrderedDict([('frame_index', 20), ('class_id', [0]), ('scores', [0.9875180125236511]), ('box_coordinates', [[211, 52, 1045, 717]])])
2021-06-02 20:28:24,426 - root -  OrderedDict([('frame_index', 0), ('class_id', [0]), ('scores', [0.9937817454338074]), ('box_coordinates', [[231, 74, 1072, 708]])])
2021-06-02 20:28:24,426 - root -  OrderedDict([('frame_index', 1), ('class_id', [0]), ('scores', [0.9959501028060913]), ('box_coordinates', [[230, 74, 1091, 708]])])
2021-06-02 20:28:24,427 - root -  OrderedDict([('frame_index', 2), ('class_id', [0]), ('scores', [0.9948398470878601]), ('box_coordinates', [[225, 78, 1060, 717]])])
2021-06-02 20:28:24,427 - root -  OrderedDict([('frame_index', 3), ('class_id', [0]), ('scores', [0.9934034943580627]), ('box_coordinates', [[224, 88, 1064, 717]])])
2021-06-02 20:28:24,428 - root -  OrderedDict([('frame_index', 4), ('class_id', [0]), ('scores', [0.9931500554084778]), ('box_coordinates', [[226, 84, 1066, 712]])])
2021-06-02 20:28:24,429 - root -  OrderedDict([('frame_index', 5), ('class_id', [0]), ('scores', [0.9886773824691772]), ('box_coordinates', [[230, 87, 1050, 715]])])
2021-06-02 20:28:24,429 - root -  OrderedDict([('frame_index', 6), ('class_id', [0]), ('scores', [0.990766167640686]), ('box_coordinates', [[241, 83, 1036, 711]])])
2021-06-02 20:28:24,430 - root -  OrderedDict([('frame_index', 7), ('class_id', [0]), ('scores', [0.9942076206207275]), ('box_coordinates', [[248, 67, 1073, 707]])])
2021-06-02 20:28:24,430 - root -  OrderedDict([('frame_index', 8), ('class_id', [0]), ('scores', [0.9934197068214417]), ('box_coordinates', [[249, 62, 1061, 709]])])
2021-06-02 20:28:24,431 - root -  OrderedDict([('frame_index', 9), ('class_id', [0]), ('scores', [0.992489755153656]), ('box_coordinates', [[249, 63, 1066, 709]])])
2021-06-02 20:28:24,431 - root -  OrderedDict([('frame_index', 10), ('class_id', [0]), ('scores', [0.9909528493881226]), ('box_coordinates', [[230, 49, 1047, 715]])])
2021-06-02 20:28:24,431 - root -  OrderedDict([('frame_index', 11), ('class_id', [0]), ('scores', [0.9802070260047913]), ('box_coordinates', [[223, 49, 1055, 712]])])
2021-06-02 20:28:24,431 - root -  OrderedDict([('frame_index', 12), ('class_id', [0]), ('scores', [0.9889573454856873]), ('box_coordinates', [[206, 36, 1034, 714]])])
2021-06-02 20:28:24,433 - root -  OrderedDict([('frame_index', 13), ('class_id', [0]), ('scores', [0.9900540113449097]), ('box_coordinates', [[200, 30, 1049, 715]])])
2021-06-02 20:28:24,433 - root -  OrderedDict([('frame_index', 14), ('class_id', [0]), ('scores', [0.989562451839447]), ('box_coordinates', [[200, 29, 1047, 715]])])
2021-06-02 20:28:24,433 - root -  OrderedDict([('frame_index', 15), ('class_id', [0]), ('scores', [0.989325761795044]), ('box_coordinates', [[192, 23, 1034, 718]])])
2021-06-02 20:28:24,434 - root -  OrderedDict([('frame_index', 16), ('class_id', [0]), ('scores', [0.991877555847168]), ('box_coordinates', [[199, 27, 1044, 715]])])
2021-06-02 20:28:24,435 - root -  OrderedDict([('frame_index', 17), ('class_id', [0]), ('scores', [0.9929628968238831]), ('box_coordinates', [[199, 27, 1022, 716]])])
2021-06-02 20:28:24,436 - root -  OrderedDict([('frame_index', 18), ('class_id', [0]), ('scores', [0.9915443658828735]), ('box_coordinates', [[208, 43, 1046, 717]])])
2021-06-02 20:28:24,436 - root -  OrderedDict([('frame_index', 19), ('class_id', [0]), ('scores', [0.9912506341934204]), ('box_coordinates', [[207, 42, 1043, 719]])])
2021-06-02 20:28:24,437 - root -  OrderedDict([('frame_index', 20), ('class_id', [0]), ('scores', [0.9875180125236511]), ('box_coordinates', [[211, 52, 1045, 717]])])
